Name,Type,Diet,Era,Image
Lapparentosaurus,Sauropod,Herbivore,Mid Jurassic,
Leaellynasaura,Euornithopod,Herbivore,Early Cretaceous,
Leptoceratops,Ceratopsian,Herbivore,Late Cretaceous,
Lesothosaurus,Large Theropod,Herbivore,Early Jurassic,
Liaoceratops,Ceratopsian,Herbivore,Early Cretaceous,
Ligabuesaurus,Sauropod,Herbivore,Early Cretaceous,
Liliensternus,Small Theropod,Carnivore,Late Triassic,
Lophorhothon,Euornithopod,Herbivore,Late Cretaceous,
Lophostropheus,Large Theropod,Carnivore,Early Jurassic,
Lufengosaurus,Sauropod,Herbivore,Early Jurassic,
Lurdusaurus,Euornithopod,Herbivore,Early Cretaceous,
Lycorhinus,Euornithopod,Herbivore,Late Triassic,
Magyarosaurus,Sauropod,Herbivore,Late Cretaceous,
Maiasaura,Euornithopod,Herbivore,Late Cretaceous,
Majungasaurus,Large Theropod,Carnivore,Late Cretaceous,
Malawisaurus,Sauropod,Herbivore,Early Cretaceous,
Mamenchisaurus,Sauropod,Herbivore,Late Jurassic,
Mapusaurus,Large Theropod,Carnivore,Late Cretaceous,
Marshosaurus,Large Theropod,Carnivore,Late Jurassic,
Masiakasaurus,Small Theropod,Carnivore,Late Cretaceous,
Massospondylus,Sauropod,Omnivore,Early Jurassic,
Maxakalisaurus,Sauropod,Herbivore,Late Cretaceous,
Megalosaurus,Large Theropod,Carnivore,Mid Jurassic,
Melanorosaurus,Sauropod,Omnivore,Late Triassic,
Metriacanthosaurus,Large Theropod,Carnivore,Late Jurassic,
Microceratus,Ceratopsian,Herbivore,Late Cretaceous,
Micropachycephalosaurus,Ceratopsian,Herbivore,Late Cretaceous,
Microraptor,Small Theropod,Carnivore,Early Cretaceous,
Minmi,Armored Dinosaur,Herbivore,Early Cretaceous,
Monolophosaurus,Large Theropod,Carnivore,Mid Jurassic,
Mononykus,Small Theropod,Unknown,Late Cretaceous,
Mussaurus,Sauropod,Herbivore,Late Triassic,
Muttaburrasaurus,Euornithopod,Herbivore,Early Cretaceous,
Nanshuingosaurus,Large Theropod,Omnivore,Late Cretaceous,
Nedoceratops,Ceratopsian,Herbivore,Late Cretaceous,
Nemegtosaurus,Sauropod,Herbivore,Late Cretaceous,
Neovenator,Large Theropod,Carnivore,Early Cretaceous,
Neuquenosaurus,Sauropod,Herbivore,Late Cretaceous,
Nigersaurus,Sauropod,Herbivore,Early Cretaceous,
Nipponosaurus,Euornithopod,Herbivore,Late Cretaceous,
Noasaurus,Small Theropod,Carnivore,Late Cretaceous,
Nodosaurus,Armored Dinosaur,Herbivore,Early Cretaceous,
Nomingia,Small Theropod,Omnivore,Late Cretaceous,
Nothronychus,Large Theropod,Omnivore,Late Cretaceous,
Nqwebasaurus,Small Theropod,Carnivore,Mid Jurassic,
Omeisaurus,Sauropod,Herbivore,Mid Jurassic,
Opisthocoelicaudia,Sauropod,Herbivore,Late Cretaceous,
Ornitholestes,Small Theropod,Carnivore,Late Jurassic,
Ornithomimus,Large Theropod,Omnivore,Late Cretaceous,
Orodromeus,Euornithopod,Herbivore,Late Cretaceous,
Oryctodromeus,Euornithopod,Herbivore,Late Cretaceous,
Othnielia,Euornithopod,Herbivore,Late Jurassic,
Ouranosaurus,Euornithopod,Herbivore,Early Cretaceous,
Oviraptor,Small Theropod,Omnivore,Late Cretaceous,
Pachycephalosaurus,Euornithopod,Herbivore,Late Cretaceous,
Pachyrhinosaurus,Ceratopsian,Herbivore,Late Cretaceous,
Panoplosaurus,Armored Dinosaur,Herbivore,Late Cretaceous,
Pantydraco,Euornithopod,Herbivore,Early Jurassic,
Paralititan,Sauropod,Herbivore,Late Cretaceous,
Parasaurolophus,Euornithopod,Herbivore,Late Cretaceous,
Parksosaurus,Euornithopod,Herbivore,Late Cretaceous,
Patagosaurus,Sauropod,Herbivore,Mid Jurassic,
Pelicanimimus,Small Theropod,Carnivore,Early Cretaceous,
Pelorosaurus,Sauropod,Herbivore,Early Cretaceous,
Pentaceratops,Ceratopsian,Herbivore,Late Cretaceous,
Piatnitzkysaurus,Large Theropod,Carnivore,Late Jurassic,
Pinacosaurus,Armored Dinosaur,Herbivore,Late Cretaceous,
Plateosaurus,Sauropod,Herbivore,Late Triassic,
Podokesaurus,Small Theropod,Carnivore,Mid Jurassic,
Poekilopleuron,Large Theropod,Carnivore,Mid Jurassic,
Polacanthus,Armored Dinosaur,Herbivore,Early Cretaceous,
Prenocephale,Euornithopod,Herbivore,Late Cretaceous,
Probactrosaurus,Euornithopod,Herbivore,Early Cretaceous,
Proceratosaurus,Small Theropod,Carnivore,Mid Jurassic,
